TOM-ACT,Name_Movie,Actors,Actor_2,Actor_3,Actor_4,Came_out,Date_M,Rate_S,Director
Horror,Halloween 4: The Return of Michael Myers,Donald Pleasence,Ellie Cornell,Danielle Harris,,1988,,5.9,Dwight H. Little
Horror,Halloween 5: The Revenge of Michael Myers,Donald Pleasence,Danielle Harris,Ellie Cornell,,1989,,5.1,Dominique Othenin-Girard
Horror,Halloween: The Curse of Michael Myers,Donald Pleasence,Paul Rudd,Marianne Hagan,,1995,,4.8,Joe Chappelle
Horror,Halloween H20: 20 Years Later,Jamie Lee Curtis,Josh Hartnett,Adam Arkin,,1998,,5.8,Steve Miner
Horror,Halloween,Scout Taylor-Compton,Malcolm McDowell,Tyler Mane,,2007,,6.1,Rob Zombie
Horror,Halloween II,Scout Taylor-Compton,Malcolm McDowell,Tyler Mane,,2009,,4.9,Rob Zombie
Horror,Halloween,Jamie Lee Curtis,Judy Greer,Andi Matichak,,2018,,6.5,David Gordon Green
Horror,Friday the 13th,Betsy Palmer,Adrienne King,Jeannine Taylor,,1980,,6.5,Sean S. Cunningham
Horror,Friday the 13th Part 2,Betsy Palmer,Amy Steel,John Furey,,1981,,6.1,Steve Miner
Horror,Friday the 13th Part III,Dana Kimmell,Tracie Savage,Richard Brooker,,1982,,5.7,Steve Miner
Horror,Friday the 13th: The Final Chapter,Erich Anderson,Judie Aronson,Peter Barton,,1984,,6,Joseph Zito
Horror,Friday the 13th: A New Beginning,Melanie Kinnaman,John Shepherd,Anthony Barrile,,1985,,4.8,Danny Steinmann
Horror,Friday the 13th Part VI: Jason Lives,Thom Mathews,Jennifer Cooke,David Kagen,,1986,,6,Tom McLoughlin
Horror,Friday the 13th Part VII: The New Blood,Terry Kiser,Jennifer Banko,John Otrin,,1988,,5.3,John Carl Buechler
Horror,Friday the 13th Part VIII: Jason Takes Manhattan,Jensen Daggett,Kane Hodder,Todd Caldecott,,1989,,4.6,Rob Hedden
Horror,Jason Goes to Hell: The Final Friday,John D. LeMay,Kari Keegan,Kane Hodder,,1993,,4.2,Adam Marcus
Horror,Jason X,Lexa Doig,Jeff Geddis,Kane Hodder,,2001,,4.4,James Isaac
Horror,Freddy vs. Jason,Robert Englund,Ken Kirzinger,Kelly Rowland,,2003,,5.7,Ronny Yu
Horror,Friday the 13th,Jared Padalecki,Amanda Righetti,Derek Mears,,2009,,5.5,Marcus Nispel
Horror,Get Out,Daniel Kaluuya,Allison Williams,Bradley Whitford,,2017,,7.7,Jordan Peele
Horror,Us,Lupita Nyong'o,Winston Duke,Elisabeth Moss,,2019,,6.9,Jordan Peele
Horror,1922,Thomas Jane,Molly Parker,Dylan Schmid,,2017,,6.3,Zak Hilditch
Horror,In the Tall Grass,Laysla De Oliveira,Avery Whitted,Patrick Wilson,,2019,,5.4,Vincenzo Natali
Horror,Pet Sematary,Jason Clarke,Amy Seimetz,John Lithgow,,2019,,5.7,Kevin Kölsch
Horror,It,Bill Skarsgård,Jaeden Martell,Finn Wolfhard,,2017,,7.3,Andy Muschietti
Horror,It Chapter Two,Jessica Chastain,James McAvoy,Bill Hader,,2019,,6.5,Andy Muschietti
Horror,The Mist,Thomas Jane,Marcia Gay Harden,Laurie Holden,,2007,,7.1,Frank Darabont
Horror,Carrie,Chloë Grace Moretz,Julianne Moore,Gabriella Wilde,,2013,,5.9,Kimberly Peirce
Horror,Pet Sematary,Dale Midkiff,Denise Crosby,Fred Gwynne,,1989,,6.6,Mary Lambert
Horror,Child's Play,Catherine Hicks,Chris Sarandon,Alex Vincent,,1988,,6.6,Tom Holland
Horror,Child's Play 2,Alex Vincent,Jenny Agutter,Gerrit Graham,,1990,,5.9,John Lafia
Horror,Child's Play 3,Justin Whalin,Perrey Reeves,Jeremy Sylvers,,1991,,5.1,Jack Bender
Horror,Bride of Chucky,Jennifer Tilly,Brad Dourif,Katherine Heigl,,1998,,5.4,Ronny Yu
Horror,Seed of Chucky,Jennifer Tilly,Brad Dourif,John Waters,,2004,,4.8,Don Mancini
Horror,Curse of Chucky,Chantal Quesnelle,Fiona Dourif,Jordan Gavaris,,2013,,5.6,Don Mancini
Horror,Cult of Chucky,Allison Dawn Doiron,Alex Vincent,Brad Dourif,,2017,,5.2,Don Mancini
Horror,Child's Play,Tim Matheson,Ben Daon,Zahra Anderson,,2019,,5.8,Lars Klevberg
Horror,The Shining,Jack Nicholson,Shelley Duvall,Danny Lloyd,,1980,,8.4,Stanley Kubrick
Horror,Poltergeist,JoBeth Williams,Heather O'Rourke,Craig T. Nelson,,1982,,7.3,Tobe Hooper
Horror,The Exorcist,Ellen Burstyn,Max von Sydow,Linda Blair,,1973,,8,William Friedkin
Horror,The Blair Witch Project,Heather Donahue,Michael C. Williams,Joshua Leonard,,1999,,6.5,Daniel Myrick
Horror,Saw,Cary Elwes,Leigh Whannell,Danny Glover,,2004,,7.6,James Wan
Horror,Saw II,Donnie Wahlberg,Beverley Mitchell,Franky G,,2005,,6.6,Darren Lynn Bousman
Horror,Saw III,Tobin Bell,Shawnee Smith,Angus Macfadyen,,2006,,6.2,Darren Lynn Bousman
Horror,Saw IV,Tobin Bell,Scott Patterson,Louis Ferreira,,2007,,5.9,Darren Lynn Bousman
Horror,Saw V,Scott Patterson,Costas Mandylor,Tobin Bell,,2008,,5.8,David Hackl
Horror,Saw VI,Tobin Bell,Costas Mandylor,Mark Rolston,,2009,,6,Kevin Greutert
Horror,Saw: The Final Chapter,Tobin Bell,Costas Mandylor,Betsy Russell,,2010,,5.6,Kevin Greutert
Horror,Jigsaw,Matt Passmore,Tobin Bell,Callum Keith Rennie,,2017,,5.8,Michael Spierig
Romance,The Notebook,Gena Rowlands,James Garner,Rachel McAdams,,2004,,7.8,Nick Cassavetes
Romance,The Fault in Our Stars,Shailene Woodley,Ansel Elgort,Nat Wolff,,2014,,7.7,Josh Boone
Romance,Dear John,Channing Tatum,Amanda Seyfried,Richard Jenkins,,2010,,6.3,Lasse Hallström
Romance,Titanic,Leonardo DiCaprio,Kate Winslet,Billy Zane,,1997,,7.8,James Cameron
Romance,Fifty Shades of Grey,Dakota Johnson,Jamie Dornan,Jennifer Ehle,,2015,,4.1,Sam Taylor-Johnson
Romance,Fifty Shades Darker,Dakota Johnson,Jamie Dornan,Eric Johnson,,2017,,4.6,James Foley
